NUM;NAME;RAJD;DECJD;P0;DM;
# Generated 2015-09-02 using ATNF Pulsar Catalogue web form
# Used "Short csv without errors" output
# Conditions "DM > 0 && P0 > 0"
# Return fields Name, RaJD, DecJD, P0, DM
# Removed second line (units) from resulting output
# Changed "#" in first line to "NUM"
337;J0957-06;149.250000;-6.283333;1.723700;26.95;
338;J0957-5432;149.483375;-54.534417;0.203557;226.10;
339;B0957-47;149.859417;-48.163194;0.670086;92.70;
340;J1000-5149;150.117254;-51.832811;0.255677;72.80;
341;B0959-54;150.408250;-55.118528;1.436583;130.32;
342;J1001-5559;150.285833;-55.983389;1.661177;159.30;
343;J1001-5939;150.384292;-59.654944;7.733640;113.00;
344;J1002-5559;150.741250;-55.993611;0.777501;426.00;
345;J1002-5919;150.585417;-59.327000;0.713489;347.00;
346;B1001-47;150.839917;-47.783889;0.307072;98.10;
347;J1006-6311;151.652500;-63.194778;0.835797;195.99;
348;B1010-23;153.140527;-23.639561;2.517945;22.51;
349;J1012+5307;153.139309;53.117389;0.005256;9.02;
350;J1012-5830;153.228750;-58.507111;2.133591;294.00;
351;B1011-58;153.202083;-58.961111;0.819911;383.90;
352;J1013-5934;153.382725;-59.574083;0.442901;379.78;
353;J1014-48;153.575000;-48.828333;1.508800;87.00;
354;J1015-5719;153.908167;-57.320222;0.139882;278.70;
355;B1014-53;154.130000;-53.753833;0.769584;66.80;
356;J1016-5819;154.050417;-58.316986;0.087834;252.10;
357;J1016-5857;154.088167;-58.953361;0.107386;394.20;
358;B1015-56;154.303583;-56.358528;0.503459;438.70;
359;J1017-7156;154.463868;-71.944902;0.002339;94.22;
360;B1016-16;154.668190;-16.702816;1.804695;48.82;
361;J1019-5749;154.967250;-57.818306;0.162499;1039.40;
362;J1020-5921;155.058458;-59.359444;1.238305;80.00;
363;J1020-6026;155.047500;-60.435222;0.140480;445.00;
364;J1021-5601;155.353417;-56.030806;0.670026;212.00;
365;J1022+1001;155.741679;10.031322;0.016453;10.25;
366;J1022-5813;155.617083;-58.225000;1.643726;714.00;
367;J1023+0038;155.948697;0.644679;0.001688;14.32;
368;J1024-0719;156.161202;-7.321992;0.005162;6.49;
369;J1028-5819;157.116667;-58.318111;0.091403;96.53;
370;J1031-6117;157.759333;-61.297389;0.306411;506.80;
371;J1032-5206;158.115375;-52.102361;2.407622;139.00;
372;B1030-58;158.029167;-59.166667;0.464208;418.20;
373;J1034-3224;158.581296;-32.407217;1.150590;50.75;
374;J1035-6345;158.762833;-63.755114;0.579577;189.70;
375;J1036-4926;159.054471;-49.439381;0.510368;136.53;
376;J1036-6559;159.083500;-65.985908;0.533502;158.36;
377;J1038+0032;159.612221;0.545444;0.028852;26.59;
378;B1036-58;159.582083;-58.524217;0.661992;72.74;
379;B1039-19;160.400817;-19.703781;1.386368;33.78;
380;B1039-55;160.502542;-55.351528;1.170859;306.50;
381;J1043-6116;160.980375;-61.280778;0.288602;449.20;
382;J1045-4509;161.459123;-45.165040;0.007474;58.17;
383;J1046+0304;161.680125;3.068583;0.326271;25.30;
384;B1044-57;161.578625;-58.231056;0.369427;240.20;
